Date,Open,High,Low,Close,Adj Close,Volume
2019-08-23,1565.000000,1583.099976,1556.000000,1579.750000,1579.750000,51085
2019-08-26,1595.000000,1601.300049,1577.449951,1597.900024,1597.900024,25374
2019-08-27,1599.500000,1606.750000,1586.699951,1601.150024,1601.150024,65667
2019-08-28,1600.000000,1606.150024,1590.800049,1603.699951,1603.699951,26545
2019-08-29,1604.000000,1620.000000,1589.500000,1615.400024,1615.400024,44727
2019-08-30,1615.000000,1621.949951,1595.750000,1615.199951,1615.199951,29379
2019-09-03,1608.000000,1609.000000,1574.349976,1576.500000,1576.500000,29175
2019-09-04,1588.000000,1588.000000,1527.900024,1534.900024,1534.900024,40724
2019-09-05,1537.599976,1545.800049,1516.000000,1520.150024,1520.150024,37331
2019-09-06,1518.500000,1540.000000,1518.500000,1532.650024,1532.650024,29013
2019-09-09,1531.000000,1543.949951,1524.900024,1540.800049,1540.800049,53314
2019-09-11,1544.099976,1564.500000,1543.599976,1561.300049,1561.300049,29999
2019-09-12,1574.000000,1574.000000,1537.449951,1539.599976,1539.599976,24122
2019-09-13,1537.000000,1552.349976,1528.300049,1547.949951,1547.949951,25561
2019-09-16,1515.000000,1525.949951,1501.250000,1520.550049,1520.550049,38289
2019-09-17,1525.000000,1542.949951,1519.250000,1531.050049,1531.050049,35837
2019-09-18,1542.000000,1560.849976,1536.300049,1548.099976,1548.099976,36898
2019-09-19,1550.000000,1563.300049,1545.150024,1554.349976,1554.349976,50857
2019-09-20,1554.400024,1724.000000,1541.949951,1672.349976,1672.349976,188884
